"","n1","n2","n3","n4","n5","others","p1","p2","p3","p4","p5","sum"
"1149",3,2,2,1,4,18,0.557,0.794,0.935,0.974,1,217
"1150",4,0,3,1,4,18,0.652,0.702,0.923,0.967,0.999,217
"1151",3,3,0,2,4,18,0.569,0.87,0.902,0.981,0.998,217
"1152",4,1,1,2,4,18,0.669,0.808,0.907,0.975,0.998,217
"1153",2,5,0,0,5,18,0.403,0.913,0.94,0.958,0.999,217
"1154",3,3,1,0,5,18,0.551,0.871,0.941,0.96,1,217
"1155",4,1,2,0,5,18,0.677,0.81,0.938,0.956,0.999,217
"1156",5,0,1,1,5,18,0.79,0.829,0.911,0.957,0.999,217
"1157",0,3,4,1,5,17,0,0.636,0.93,0.966,1,217
"1158",0,4,3,0,6,17,0,0.707,0.931,0.959,1,217
"1159",4,6,0,0,0,20,0.666,0.976,0.987,0.993,0.997,216
"1160",5,4,1,0,0,20,0.777,0.952,0.984,0.994,0.997,216
"1161",6,2,2,0,0,20,0.804,0.929,0.981,0.99,0.992,216
"1162",1,5,5,0,0,19,0.219,0.86,0.987,0.995,0.996,216
"1163",2,3,6,0,0,19,0.434,0.806,0.997,0.998,0.999,216
"1164",6,3,0,1,0,20,0.83,0.963,0.977,0.992,0.998,216
"1165",1,6,3,1,0,19,0.229,0.91,0.983,0.994,0.997,216
"1166",2,4,4,1,0,19,0.379,0.862,0.98,0.994,0.996,216
"1167",3,2,5,1,0,19,0.545,0.807,0.987,0.994,0.994,216
"1168",4,0,6,1,0,19,0.684,0.724,0.985,0.995,0.998,216
"1169",2,5,2,2,0,19,0.409,0.915,0.973,0.998,1,216
"1170",3,3,3,2,0,19,0.535,0.862,0.984,0.997,0.999,216
"1171",4,1,4,2,0,19,0.65,0.794,0.977,0.993,0.995,216
"1172",2,6,0,3,0,19,0.43,0.949,0.959,0.997,0.998,216
"1173",3,4,1,3,0,19,0.557,0.918,0.97,0.995,0.998,216
"1174",4,2,2,3,0,19,0.676,0.868,0.952,0.997,0.999,216
"1175",5,0,3,3,0,19,0.751,0.788,0.961,0.997,1,216
"1176",0,3,6,3,0,18,0,0.612,0.967,0.997,1,216
"1177",4,3,0,4,0,19,0.681,0.91,0.933,0.998,0.999,216
"1178",5,1,1,4,0,19,0.77,0.875,0.941,0.997,0.997,216
"1179",0,4,4,4,0,18,0,0.748,0.967,0.999,0.999,216
"1180",1,2,5,4,0,18,0.216,0.613,0.952,0.998,1,216
"1181",0,5,2,5,0,18,0,0.8,0.934,0.997,1,216
"1182",1,3,3,5,0,18,0.212,0.706,0.934,0.991,0.996,216
"1183",2,1,4,5,0,18,0.397,0.613,0.925,0.998,0.999,216
"1184",2,5,3,0,1,19,0.421,0.919,0.987,0.991,0.998,216
"1185",3,3,4,0,1,19,0.569,0.874,0.98,0.992,0.996,216
"1186",4,1,5,0,1,19,0.662,0.815,0.989,0.994,1,216
"1187",2,6,1,1,1,19,0.42,0.943,0.971,0.991,0.998,216
"1188",3,4,2,1,1,19,0.551,0.892,0.976,0.993,0.996,216
"1189",4,2,3,1,1,19,0.64,0.871,0.979,0.996,0.999,216
"1190",5,0,4,1,1,19,0.74,0.788,0.974,0.991,0.997,216
"1191",3,5,0,2,1,19,0.553,0.936,0.953,0.989,0.998,216
"1192",4,3,1,2,1,19,0.683,0.909,0.959,0.993,0.999,216
"1193",5,1,2,2,1,19,0.749,0.866,0.952,0.99,1,216
"1194",0,4,5,2,1,18,0,0.718,0.968,0.995,0.999,216
"1195",1,2,6,2,1,18,0.234,0.631,0.973,0.997,1,216
"1196",5,2,0,3,1,19,0.765,0.909,0.932,0.988,0.996,216
"1197",6,0,1,3,1,19,0.83,0.873,0.941,0.989,0.993,216
"1198",0,5,3,3,1,18,0,0.798,0.958,0.993,0.997,216
"1199",1,3,4,3,1,18,0.227,0.727,0.955,0.997,0.999,216
"1200",2,1,5,3,1,18,0.424,0.628,0.955,0.995,1,216
"1201",0,6,1,4,1,18,0,0.879,0.932,0.994,0.998,216
"1202",1,4,2,4,1,18,0.213,0.794,0.93,0.99,0.999,216
"1203",2,2,3,4,1,18,0.414,0.742,0.937,0.994,0.999,216
"1204",3,0,4,4,1,18,0.56,0.614,0.95,0.995,0.998,216
"1205",1,5,0,5,1,18,0.238,0.873,0.902,0.998,0.998,216
"1206",2,3,1,5,1,18,0.433,0.825,0.903,0.992,0.999,216
"1207",3,1,2,5,1,18,0.563,0.712,0.903,0.997,0.999,216
"1208",3,5,1,0,2,19,0.565,0.942,0.983,0.992,0.998,216
"1209",4,3,2,0,2,19,0.679,0.908,0.98,0.987,0.996,216
"1210",5,1,3,0,2,19,0.709,0.842,0.972,0.981,0.997,216
"1211",0,4,6,0,2,18,0,0.718,0.989,0.997,1,216
"1212",4,4,0,1,2,19,0.684,0.934,0.958,0.985,0.999,216
"1213",5,2,1,1,2,19,0.746,0.908,0.955,0.981,0.998,216
"1214",6,0,2,1,2,19,0.822,0.864,0.957,0.979,0.999,216
"1215",0,5,4,1,2,18,0,0.81,0.976,0.994,1,216
"1216",1,3,5,1,2,18,0.188,0.68,0.979,0.992,0.999,216
"1217",2,1,6,1,2,18,0.443,0.633,0.979,0.994,1,216
"1218",6,1,0,2,2,19,0.802,0.895,0.922,0.981,0.998,216
"1219",0,6,2,2,2,18,0,0.87,0.961,0.992,0.998,216
"1220",1,4,3,2,2,18,0.248,0.793,0.96,0.997,0.999,216
"1221",2,2,4,2,2,18,0.402,0.708,0.96,0.989,0.998,216
"1222",3,0,5,2,2,18,0.55,0.601,0.958,0.992,0.999,216
"1223",1,5,1,3,2,18,0.218,0.874,0.937,0.993,1,216
"1224",2,3,2,3,2,18,0.418,0.801,0.93,0.994,0.997,216
"1225",3,1,3,3,2,18,0.548,0.741,0.949,0.995,0.997,216
"1226",5,3,0,0,3,19,0.763,0.948,0.96,0.977,0.998,216
"1227",6,1,1,0,3,19,0.846,0.93,0.97,0.983,1,216
"1228",0,6,3,0,3,18,0,0.872,0.977,0.984,0.995,216
"1229",1,4,4,0,3,18,0.227,0.808,0.974,0.986,0.999,216
"1230",2,2,5,0,3,18,0.424,0.725,0.973,0.985,0.998,216
"1231",3,0,6,0,3,18,0.548,0.602,0.977,0.984,1,216
"1232",1,5,2,1,3,18,0.202,0.85,0.949,0.975,0.996,216
"1233",2,3,3,1,3,18,0.421,0.812,0.946,0.98,0.999,216
"1234",3,1,4,1,3,18,0.541,0.707,0.95,0.983,0.999,216
"1235",1,6,0,2,3,18,0.242,0.908,0.934,0.984,0.998,216
"1236",2,4,1,2,3,18,0.446,0.886,0.933,0.987,0.999,216
"1237",3,2,2,2,3,18,0.581,0.81,0.937,0.989,1,216
"1238",4,0,3,2,3,18,0.693,0.744,0.95,0.986,0.999,216
"1239",0,3,3,4,3,17,0,0.616,0.914,0.993,1,216
"1240",1,6,1,0,4,18,0.264,0.909,0.956,0.97,1,216
"1241",2,4,2,0,4,18,0.423,0.874,0.96,0.967,0.999,216
"1242",3,2,3,0,4,18,0.565,0.805,0.963,0.973,1,216
"1243",4,0,4,0,4,18,0.648,0.7,0.964,0.978,1,216
"1244",2,5,0,1,4,18,0.375,0.903,0.934,0.973,0.999,216
"1245",3,3,1,1,4,18,0.576,0.884,0.944,0.969,0.997,216
"1246",4,1,2,1,4,18,0.662,0.796,0.93,0.976,1,216
"1247",4,2,0,2,4,18,0.664,0.876,0.903,0.98,0.999,216
"1248",5,0,1,2,4,18,0.778,0.821,0.906,0.976,0.998,216
"1249",0,3,4,2,4,17,0,0.598,0.933,0.983,0.999,216
"1250",0,4,2,3,4,17,0,0.767,0.932,0.988,0.999,216
"1251",3,4,0,0,5,18,0.593,0.899,0.925,0.955,1,216
"1252",4,2,1,0,5,18,0.667,0.87,0.939,0.952,0.999,216
"1253",5,0,2,0,5,18,0.775,0.818,0.939,0.961,1,216
"1254",0,3,5,0,5,17,0,0.608,0.956,0.969,0.998,216
"1255",0,4,3,1,5,17,0,0.692,0.938,0.976,1,216
"1256",1,2,4,1,5,17,0.212,0.622,0.949,0.974,0.999,216
"1257",0,5,1,2,5,17,0,0.817,0.915,0.985,0.999,216
"1258",1,3,2,2,5,17,0.237,0.729,0.909,0.978,1,216
"1259",1,3,3,0,6,17,0.216,0.718,0.927,0.952,1,216
"1260",2,1,4,0,6,17,0.415,0.618,0.936,0.953,0.999,216
"1261",1,4,1,1,6,17,0.244,0.821,0.909,0.96,1,216
"1262",5,5,0,0,0,20,0.764,0.977,0.988,0.992,0.994,215
"1263",6,3,1,0,0,20,0.81,0.958,0.982,0.987,0.991,215
"1264",1,6,4,0,0,19,0.223,0.908,0.993,0.996,0.997,215
"1265",2,4,5,0,0,19,0.406,0.847,0.996,0.999,1,215
"1266",3,2,6,0,0,19,0.559,0.799,0.99,0.996,0.998,215
"1267",2,5,3,1,0,19,0.427,0.898,0.987,0.996,0.999,215
"1268",3,3,4,1,0,19,0.542,0.872,0.981,0.989,0.997,215
"1269",4,1,5,1,0,19,0.672,0.799,0.985,0.998,1,215
"1270",2,6,1,2,0,19,0.447,0.936,0.974,0.995,0.997,215
"1271",3,4,2,2,0,19,0.578,0.924,0.982,0.997,0.998,215
"1272",4,2,3,2,0,19,0.69,0.851,0.967,0.997,0.997,215
"1273",5,0,4,2,0,19,0.752,0.798,0.962,0.997,0.998,215
"1274",3,5,0,3,0,19,0.563,0.934,0.955,0.994,0.996,215
"1275",4,3,1,3,0,19,0.664,0.905,0.955,0.993,0.995,215
"1276",5,1,2,3,0,19,0.747,0.866,0.964,0.996,0.997,215
"1277",0,4,5,3,0,18,0,0.723,0.972,0.995,0.996,215
"1278",1,2,6,3,0,18,0.232,0.609,0.967,0.996,0.998,215
"1279",5,2,0,4,0,19,0.74,0.903,0.934,0.997,0.998,215
"1280",6,0,1,4,0,19,0.831,0.872,0.936,0.997,0.998,215
"1281",0,5,3,4,0,18,0,0.772,0.958,1,1,215
"1282",1,3,4,4,0,18,0.23,0.718,0.956,0.999,1,215
"1283",2,1,5,4,0,18,0.412,0.605,0.964,0.999,0.999,215
"1284",0,6,1,5,0,18,0,0.864,0.934,0.996,0.999,215
"1285",1,4,2,5,0,18,0.231,0.802,0.943,0.997,0.999,215
"1286",2,2,3,5,0,18,0.411,0.721,0.933,0.996,0.999,215
"1287",3,0,4,5,0,18,0.598,0.657,0.938,0.995,0.998,215
"1288",1,5,0,6,0,18,0.253,0.884,0.918,0.999,1,215
"1289",2,6,2,0,1,19,0.414,0.93,0.984,0.987,0.994,215
"1290",3,4,3,0,1,19,0.556,0.909,0.983,0.99,0.997,215
"1291",4,2,4,0,1,19,0.678,0.855,0.987,0.991,0.997,215
"1292",5,0,5,0,1,19,0.764,0.817,0.989,0.996,1,215
"1293",3,5,1,1,1,19,0.512,0.931,0.969,0.991,0.998,215
"1294",4,3,2,1,1,19,0.629,0.891,0.971,0.986,0.996,215
"1295",5,1,3,1,1,19,0.76,0.866,0.98,0.994,0.998,215
"1296",0,4,6,1,1,18,0,0.727,0.994,0.997,1,215
"1297",4,4,0,2,1,19,0.683,0.936,0.962,0.994,0.995,215
"1298",5,2,1,2,1,19,0.768,0.915,0.963,0.991,0.998,215
"1299",6,0,2,2,1,19,0.847,0.876,0.959,0.984,0.992,215
"1300",0,5,4,2,1,18,0,0.797,0.973,0.994,0.999,215
"1301",1,3,5,2,1,18,0.238,0.722,0.973,0.995,0.999,215
"1302",2,1,6,2,1,18,0.424,0.612,0.972,0.994,0.999,215
"1303",6,1,0,3,1,19,0.821,0.909,0.943,0.994,1,215
"1304",0,6,2,3,1,18,0,0.849,0.966,0.998,1,215
"1305",1,4,3,3,1,18,0.242,0.809,0.963,0.996,1,215
"1306",2,2,4,3,1,18,0.399,0.702,0.956,0.995,0.999,215
"1307",3,0,5,3,1,18,0.556,0.615,0.962,0.995,0.998,215
"1308",1,5,1,4,1,18,0.237,0.87,0.951,0.993,0.999,215
"1309",2,3,2,4,1,18,0.405,0.81,0.92,0.993,0.999,215
"1310",3,1,3,4,1,18,0.511,0.688,0.919,0.991,0.997,215
"1311",3,6,0,0,2,19,0.547,0.963,0.98,0.988,0.998,215
"1312",4,4,1,0,2,19,0.668,0.938,0.977,0.985,0.997,215
"1313",5,2,2,0,2,19,0.754,0.907,0.974,0.985,0.998,215
"1314",6,0,3,0,2,19,0.835,0.88,0.971,0.982,0.993,215
"1315",0,5,5,0,2,18,0,0.837,0.985,0.991,0.999,215
"1316",1,3,6,0,2,18,0.246,0.69,0.977,0.988,0.999,215
"1317",5,3,0,1,2,19,0.763,0.942,0.96,0.987,0.998,215
"1318",6,1,1,1,2,19,0.819,0.914,0.963,0.985,0.997,215
"1319",0,6,3,1,2,18,0,0.874,0.981,0.995,0.998,215
"1320",1,4,4,1,2,18,0.245,0.818,0.979,0.995,0.999,215
"1321",2,2,5,1,2,18,0.408,0.744,0.973,0.992,1,215
"1322",3,0,6,1,2,18,0.556,0.618,0.974,0.996,0.998,215
"1323",1,5,2,2,2,18,0.215,0.856,0.954,0.993,0.999,215
"1324",2,3,3,2,2,18,0.42,0.807,0.969,0.993,0.999,215
"1325",3,1,4,2,2,18,0.554,0.729,0.961,0.993,1,215
"1326",1,6,0,3,2,18,0.228,0.907,0.939,0.988,0.996,215
"1327",2,4,1,3,2,18,0.428,0.858,0.939,0.988,0.999,215
"1328",3,2,2,3,2,18,0.559,0.818,0.939,0.991,0.999,215
"1329",4,0,3,3,2,18,0.644,0.703,0.933,0.995,1,215
"1330",3,3,0,4,2,18,0.574,0.87,0.901,0.992,0.996,215
"1331",6,2,0,0,3,19,0.832,0.932,0.959,0.977,0.998,215
"1332",1,5,3,0,3,18,0.228,0.872,0.973,0.984,0.999,215
"1333",2,3,4,0,3,18,0.415,0.802,0.969,0.982,0.998,215
"1334",3,1,5,0,3,18,0.547,0.721,0.973,0.982,0.999,215
"1335",1,6,1,1,3,18,0.24,0.904,0.959,0.983,1,215
"1336",2,4,2,1,3,18,0.417,0.868,0.963,0.991,0.998,215
"1337",3,2,3,1,3,18,0.565,0.811,0.969,0.987,0.999,215
"1338",4,0,4,1,3,18,0.682,0.725,0.959,0.988,0.999,215
"1339",2,5,0,2,3,18,0.445,0.911,0.939,0.988,0.998,215
"1340",3,3,1,2,3,18,0.56,0.855,0.927,0.982,0.999,215
"1341",4,1,2,2,3,18,0.661,0.801,0.935,0.984,0.999,215
"1342",4,2,0,3,3,18,0.666,0.871,0.903,0.981,0.997,215
"1343",0,3,4,3,3,17,0,0.617,0.938,0.994,1,215
"1344",2,5,1,0,4,18,0.378,0.912,0.964,0.974,1,215
"1345",3,3,2,0,4,18,0.575,0.856,0.947,0.964,1,215
"1346",4,1,3,0,4,18,0.654,0.796,0.949,0.965,1,215
"1347",3,4,0,1,4,18,0.545,0.904,0.926,0.967,0.998,215
"1348",4,2,1,1,4,18,0.672,0.858,0.935,0.977,0.999,215
"1349",5,0,2,1,4,18,0.764,0.8,0.941,0.976,1,215
"1350",0,3,5,1,4,17,0,0.615,0.962,0.99,1,215
"1351",0,4,3,2,4,17,0,0.754,0.947,0.993,0.999,215
"1352",1,2,4,2,4,17,0.251,0.614,0.937,0.983,1,215
"1353",0,5,1,3,4,17,0,0.823,0.901,0.986,0.999,215
"1354",1,3,2,3,4,17,0.229,0.699,0.904,0.983,0.999,215
"1355",4,3,0,0,5,18,0.649,0.894,0.931,0.955,0.999,215
"1356",0,4,4,0,5,17,0,0.728,0.957,0.968,0.998,215
"1357",1,2,5,0,5,17,0.255,0.615,0.962,0.975,0.998,215
"1358",0,5,2,1,5,17,0,0.784,0.941,0.971,1,215
"1359",1,3,3,1,5,17,0.23,0.722,0.945,0.977,1,215
"1360",2,1,4,1,5,17,0.395,0.608,0.931,0.967,0.999,215
"1361",1,4,1,2,5,17,0.235,0.814,0.909,0.976,1,215
"1362",3,0,3,2,5,17,0.562,0.611,0.906,0.972,1,215
"1363",0,6,1,0,6,17,0,0.865,0.94,0.966,1,215
"1364",1,4,2,0,6,17,0.236,0.819,0.935,0.953,1,215
"1365",2,3,1,1,6,17,0.435,0.802,0.909,0.959,1,215
"1366",3,1,2,1,6,17,0.554,0.72,0.904,0.954,1,215
"1367",6,4,0,0,0,20,0.812,0.976,0.981,0.989,0.995,214
"1368",2,5,4,0,0,19,0.384,0.907,0.993,0.996,0.997,214
"1369",3,3,5,0,0,19,0.563,0.872,0.992,0.995,0.996,214
"1370",4,1,6,0,0,19,0.681,0.807,0.989,0.993,0.997,214
"1371",2,6,2,1,0,19,0.439,0.946,0.983,0.997,0.999,214
"1372",3,4,3,1,0,19,0.574,0.91,0.983,0.998,1,214
"1373",4,2,4,1,0,19,0.672,0.87,0.985,0.994,0.994,214
"1374",5,0,5,1,0,19,0.789,0.84,0.986,0.998,1,214
"1375",3,5,1,2,0,19,0.542,0.938,0.975,0.997,0.998,214
"1376",4,3,2,2,0,19,0.669,0.886,0.967,0.993,0.998,214
"1377",5,1,3,2,0,19,0.756,0.861,0.977,1,1,214
"1378",0,4,6,2,0,18,0,0.713,0.986,0.998,1,214
"1379",4,4,0,3,0,19,0.62,0.926,0.951,0.996,0.999,214
"1380",5,2,1,3,0,19,0.734,0.907,0.958,0.997,0.999,214
"1381",6,0,2,3,0,19,0.845,0.88,0.97,0.994,0.996,214
"1382",0,5,4,3,0,18,0,0.827,0.976,0.997,0.999,214
"1383",1,3,5,3,0,18,0.228,0.715,0.974,0.998,0.999,214
"1384",2,1,6,3,0,18,0.392,0.598,0.972,0.996,0.998,214
"1385",6,1,0,4,0,19,0.838,0.909,0.927,0.991,0.996,214
"1386",0,6,2,4,0,18,0,0.872,0.955,0.999,0.999,214
"1387",1,4,3,4,0,18,0.239,0.824,0.966,1,1,214
"1388",2,2,4,4,0,18,0.414,0.72,0.953,0.994,0.999,214
"1389",3,0,5,4,0,18,0.533,0.585,0.967,0.999,0.999,214
"1390",1,5,1,5,0,18,0.199,0.858,0.947,0.998,0.999,214
"1391",2,3,2,5,0,18,0.415,0.807,0.928,0.999,1,214
"1392",3,1,3,5,0,18,0.543,0.705,0.927,0.997,1,214
"1393",2,4,0,6,0,18,0.433,0.876,0.907,1,1,214
"1394",3,5,2,0,1,19,0.56,0.94,0.984,0.989,0.999,214
"1395",4,3,3,0,1,19,0.673,0.909,0.989,0.994,0.997,214
"1396",5,1,4,0,1,19,0.757,0.86,0.98,0.988,1,214
"1397",3,6,0,1,1,19,0.542,0.967,0.974,0.991,0.998,214
"1398",4,4,1,1,1,19,0.685,0.924,0.974,0.99,0.997,214
"1399",5,2,2,1,1,19,0.767,0.914,0.977,0.995,0.998,214
"1400",6,0,3,1,1,19,0.816,0.855,0.97,0.99,0.996,214
"1401",0,5,5,1,1,18,0,0.817,0.986,0.999,1,214
"1402",1,3,6,1,1,18,0.243,0.72,0.99,0.998,1,214
"1403",5,3,0,2,1,19,0.741,0.924,0.945,0.989,0.997,214
"1404",6,1,1,2,1,19,0.81,0.904,0.964,0.991,0.998,214
"1405",0,6,3,2,1,18,0,0.861,0.976,0.993,0.999,214
"1406",1,4,4,2,1,18,0.213,0.813,0.97,0.99,1,214
"1407",2,2,5,2,1,18,0.367,0.723,0.97,0.992,0.998,214
"1408",3,0,6,2,1,18,0.554,0.604,0.979,0.999,0.999,214
"1409",1,5,2,3,1,18,0.21,0.861,0.959,0.995,0.997,214
"1410",2,3,3,3,1,18,0.437,0.801,0.958,0.996,1,214
"1411",3,1,4,3,1,18,0.562,0.727,0.96,0.999,1,214
"1412",1,6,0,4,1,18,0.232,0.927,0.949,0.992,0.996,214
"1413",2,4,1,4,1,18,0.4,0.873,0.944,0.993,0.999,214
"1414",3,2,2,4,1,18,0.561,0.829,0.946,0.994,0.999,214
"1415",4,0,3,4,1,18,0.659,0.709,0.925,0.993,0.999,214
"1416",3,3,0,5,1,18,0.59,0.878,0.906,0.995,0.998,214
"1417",0,3,3,6,1,17,0,0.608,0.913,0.999,1,214
"1418",4,5,0,0,2,19,0.67,0.96,0.971,0.982,0.996,214
"1419",5,3,1,0,2,19,0.745,0.948,0.98,0.988,1,214
"1420",6,1,2,0,2,19,0.826,0.901,0.969,0.981,0.999,214
"1421",0,6,4,0,2,18,0,0.869,0.989,0.994,0.998,214
"1422",1,4,5,0,2,18,0.231,0.798,0.977,0.983,0.999,214
"1423",2,2,6,0,2,18,0.429,0.719,0.98,0.987,0.998,214
"1424",6,2,0,1,2,19,0.822,0.94,0.954,0.981,0.997,214
"1425",1,5,3,1,2,18,0.226,0.846,0.97,0.987,0.998,214
"1426",2,3,4,1,2,18,0.412,0.818,0.974,0.992,0.999,214
"1427",3,1,5,1,2,18,0.544,0.701,0.965,0.988,0.998,214
"1428",1,6,1,2,2,18,0.205,0.906,0.954,0.993,0.999,214
"1429",2,4,2,2,2,18,0.398,0.874,0.957,0.991,0.998,214
"1430",3,2,3,2,2,18,0.542,0.796,0.959,0.996,1,214
"1431",4,0,4,2,2,18,0.673,0.729,0.964,0.994,1,214
"1432",2,5,0,3,2,18,0.407,0.913,0.936,0.991,1,214
"1433",3,3,1,3,2,18,0.574,0.865,0.94,0.99,1,214
"1434",4,1,2,3,2,18,0.67,0.81,0.937,0.995,1,214
"1435",4,2,0,4,2,18,0.677,0.904,0.918,0.993,1,214
"1436",0,3,4,4,2,17,0,0.617,0.934,0.997,0.999,214
"1437",0,4,2,5,2,17,0,0.714,0.916,0.994,0.999,214
"1438",1,6,2,0,3,18,0.231,0.921,0.981,0.986,0.999,214
"1439",2,4,3,0,3,18,0.428,0.86,0.976,0.988,0.999,214
"1440",3,2,4,0,3,18,0.591,0.811,0.979,0.987,1,214
"1441",4,0,5,0,3,18,0.679,0.732,0.975,0.984,0.999,214
"1442",2,5,1,1,3,18,0.386,0.89,0.953,0.976,0.998,214
"1443",3,3,2,1,3,18,0.549,0.839,0.953,0.984,0.999,214
"1444",4,1,3,1,3,18,0.647,0.796,0.95,0.984,1,214
"1445",3,4,0,2,3,18,0.541,0.89,0.924,0.981,0.999,214
"1446",4,2,1,2,3,18,0.664,0.861,0.933,0.984,0.999,214
"1447",5,0,2,2,3,18,0.732,0.792,0.922,0.984,0.998,214
"1448",0,3,5,2,3,17,0,0.617,0.951,0.99,0.998,214
"1449",0,4,3,3,3,17,0,0.728,0.935,0.993,1,214
"1450",1,2,4,3,3,17,0.224,0.609,0.931,0.995,1,214
"1451",2,6,0,0,4,18,0.413,0.929,0.953,0.964,0.998,214
"1452",3,4,1,0,4,18,0.556,0.911,0.953,0.964,0.998,214
"1453",4,2,2,0,4,18,0.66,0.856,0.957,0.966,0.997,214
"1454",5,0,3,0,4,18,0.767,0.809,0.96,0.972,0.999,214
"1455",0,3,6,0,4,17,0,0.618,0.974,0.981,0.998,214
"1456",4,3,0,1,4,18,0.667,0.891,0.918,0.963,0.997,214
"1457",5,1,1,1,4,18,0.756,0.857,0.926,0.971,0.996,214
"1458",0,4,4,1,4,17,0,0.712,0.949,0.982,0.999,214
"1459",1,2,5,1,4,17,0.23,0.597,0.968,0.989,0.999,214
"1460",0,5,2,2,4,17,0,0.785,0.939,0.987,0.999,214
"1461",1,3,3,2,4,17,0.231,0.728,0.932,0.981,0.995,214
"1462",2,1,4,2,4,17,0.404,0.631,0.954,0.984,0.999,214
"1463",0,6,0,3,4,17,0,0.883,0.916,0.985,1,214
"1464",1,4,1,3,4,17,0.246,0.814,0.911,0.981,0.998,214
"1465",6,0,1,0,5,18,0.829,0.868,0.934,0.959,0.999,214
"1466",0,5,3,0,5,17,0,0.809,0.961,0.974,1,214
"1467",1,3,4,0,5,17,0.212,0.715,0.947,0.967,0.999,214
"1468",2,1,5,0,5,17,0.383,0.597,0.959,0.972,1,214
"1469",0,6,1,1,5,17,0,0.841,0.917,0.967,1,214
"1470",1,4,2,1,5,17,0.238,0.791,0.936,0.968,0.998,214
"1471",2,2,3,1,5,17,0.413,0.717,0.945,0.974,1,214
"1472",3,0,4,1,5,17,0.515,0.56,0.928,0.966,1,214
"1473",1,5,0,2,5,17,0.231,0.864,0.904,0.971,0.999,214
"1474",3,1,2,2,5,17,0.565,0.74,0.906,0.973,0.999,214
"1475",1,5,1,0,6,17,0.23,0.87,0.943,0.962,1,214
"1476",2,3,2,0,6,17,0.419,0.805,0.935,0.959,0.999,214
"1477",3,1,3,0,6,17,0.547,0.704,0.925,0.957,0.999,214
"1478",2,6,3,0,0,19,0.406,0.946,0.994,0.997,0.998,213
"1479",3,4,4,0,0,19,0.549,0.905,0.991,0.995,0.998,213
"1480",4,2,5,0,0,19,0.67,0.855,0.987,0.99,0.994,213
"1481",5,0,6,0,0,19,0.752,0.813,0.993,0.995,0.996,213
"1482",3,5,2,1,0,19,0.556,0.948,0.988,0.998,0.998,213
"1483",4,3,3,1,0,19,0.657,0.91,0.982,0.993,0.995,213
"1484",5,1,4,1,0,19,0.756,0.863,0.981,0.991,0.995,213
"1485",3,6,0,2,0,19,0.55,0.958,0.974,0.996,0.999,213
"1486",4,4,1,2,0,19,0.679,0.942,0.974,0.995,0.996,213
"1487",5,2,2,2,0,19,0.748,0.903,0.972,0.995,0.997,213
"1488",6,0,3,2,0,19,0.817,0.864,0.966,0.992,0.995,213
"1489",0,5,5,2,0,18,0,0.814,0.994,0.997,0.997,213
"1490",1,3,6,2,0,18,0.224,0.703,0.979,0.996,0.998,213
"1491",5,3,0,3,0,19,0.742,0.93,0.953,0.995,0.999,213
"1492",6,1,1,3,0,19,0.829,0.908,0.96,0.996,0.997,213
"1493",0,6,3,3,0,18,0,0.868,0.977,0.999,0.999,213
"1494",1,4,4,3,0,18,0.212,0.809,0.968,0.998,0.999,213
"1495",2,2,5,3,0,18,0.392,0.693,0.972,0.998,1,213
"1496",3,0,6,3,0,18,0.544,0.599,0.972,0.999,0.999,213
"1497",1,5,2,4,0,18,0.247,0.866,0.961,1,1,213
"1498",2,3,3,4,0,18,0.416,0.792,0.954,0.996,0.999,213
"1499",3,1,4,4,0,18,0.561,0.731,0.958,0.997,0.999,213
"1500",1,6,0,5,0,18,0.223,0.911,0.937,0.999,0.999,213
"1501",2,4,1,5,0,18,0.422,0.871,0.944,0.998,0.999,213
"1502",3,2,2,5,0,18,0.55,0.79,0.93,0.997,1,213
"1503",4,0,3,5,0,18,0.672,0.708,0.937,1,1,213
"1504",3,3,0,6,0,18,0.556,0.88,0.917,1,1,213
"1505",3,6,1,0,1,19,0.532,0.96,0.984,0.991,0.994,213
"1506",4,4,2,0,1,19,0.696,0.942,0.988,0.994,0.999,213
"1507",5,2,3,0,1,19,0.742,0.902,0.977,0.985,0.997,213
"1508",6,0,4,0,1,19,0.816,0.856,0.98,0.988,0.996,213
"1509",0,5,6,0,1,18,0,0.819,0.991,0.996,0.998,213
"1510",4,5,0,1,1,19,0.67,0.951,0.97,0.985,0.997,213
"1511",5,3,1,1,1,19,0.742,0.937,0.972,0.99,0.997,213
"1512",6,1,2,1,1,19,0.824,0.915,0.977,0.987,0.998,213
"1513",0,6,4,1,1,18,0,0.879,0.987,0.997,0.998,213
"1514",1,4,5,1,1,18,0.208,0.802,0.985,0.997,0.999,213
"1515",2,2,6,1,1,18,0.402,0.727,0.986,0.996,0.999,213
"1516",6,2,0,2,1,19,0.838,0.947,0.969,0.991,0.998,213
"1517",1,5,3,2,1,18,0.216,0.866,0.968,0.992,0.998,213
"1518",2,3,4,2,1,18,0.42,0.803,0.974,0.99,0.993,213
"1519",3,1,5,2,1,18,0.543,0.719,0.972,0.998,0.999,213
"1520",1,6,1,3,1,18,0.232,0.912,0.956,0.995,1,213
"1521",2,4,2,3,1,18,0.402,0.876,0.957,0.995,1,213
"1522",3,2,3,3,1,18,0.572,0.802,0.96,0.994,0.998,213
"1523",4,0,4,3,1,18,0.666,0.71,0.947,0.995,0.999,213
