"","n1","n2","n3","n4","n5","others","p1","p2","p3","p4","p5","sum"
"8240",3,3,3,4,6,11,0.567,0.868,0.973,0.999,1,174
"8241",4,1,4,4,6,11,0.643,0.78,0.973,0.999,1,174
"8242",2,6,0,5,6,11,0.406,0.934,0.95,1,1,174
"8243",3,4,1,5,6,11,0.534,0.91,0.949,0.997,1,174
"8244",4,2,2,5,6,11,0.669,0.873,0.964,0.999,1,174
"8245",5,0,3,5,6,11,0.756,0.8,0.963,1,1,174
"8246",4,3,0,6,6,11,0.699,0.924,0.946,0.999,1,174
"8247",5,1,1,6,6,11,0.75,0.857,0.933,0.999,1,174
"8248",5,5,6,0,0,14,0.765,0.966,1,1,1,173
"8249",5,6,4,1,0,14,0.765,0.985,1,1,1,173
"8250",6,4,5,1,0,14,0.836,0.974,0.999,1,1,173
"8251",6,5,3,2,0,14,0.825,0.985,0.999,1,1,173
"8252",6,6,1,3,0,14,0.823,0.985,0.997,1,1,173
"8253",3,5,6,3,0,13,0.548,0.939,0.999,1,1,173
"8254",3,6,4,4,0,13,0.539,0.955,0.999,1,1,173
"8255",4,4,5,4,0,13,0.66,0.939,0.997,1,1,173
"8256",5,2,6,4,0,13,0.741,0.888,0.997,1,1,173
"8257",4,5,3,5,0,13,0.67,0.948,0.993,1,1,173
"8258",5,3,4,5,0,13,0.749,0.931,0.999,1,1,173
"8259",6,1,5,5,0,13,0.828,0.905,0.997,1,1,173
"8260",4,6,1,6,0,13,0.664,0.974,0.989,1,1,173
"8261",5,4,2,6,0,13,0.767,0.963,0.993,1,1,173
"8262",6,2,3,6,0,13,0.807,0.937,0.992,0.999,1,173
"8263",1,5,6,6,0,12,0.229,0.872,0.997,1,1,173
"8264",6,5,4,0,1,14,0.828,0.986,1,1,1,173
"8265",6,6,2,1,1,14,0.82,0.992,0.998,1,1,173
"8266",3,6,5,2,1,13,0.562,0.958,0.999,1,1,173
"8267",4,4,6,2,1,13,0.693,0.928,1,1,1,173
"8268",4,5,4,3,1,13,0.683,0.957,0.995,1,1,173
"8269",5,3,5,3,1,13,0.755,0.932,0.995,0.999,1,173
"8270",6,1,6,3,1,13,0.821,0.898,0.995,1,1,173
"8271",4,6,2,4,1,13,0.672,0.972,0.994,1,1,173
"8272",5,4,3,4,1,13,0.763,0.959,0.997,1,1,173
"8273",6,2,4,4,1,13,0.819,0.94,0.994,1,1,173
"8274",5,5,1,5,1,13,0.753,0.978,0.992,1,1,173
"8275",6,3,2,5,1,13,0.842,0.965,0.998,1,1,173
"8276",1,6,5,5,1,12,0.22,0.901,0.997,1,1,173
"8277",2,4,6,5,1,12,0.39,0.854,0.993,1,1,173
"8278",6,4,0,6,1,13,0.828,0.975,0.987,1,1,173
"8279",2,5,4,6,1,12,0.417,0.904,0.988,1,1,173
"8280",3,3,5,6,1,12,0.553,0.865,0.992,1,1,173
"8281",4,1,6,6,1,12,0.664,0.808,0.991,1,1,173
"8282",3,6,6,0,2,13,0.555,0.959,1,1,1,173
"8283",4,5,5,1,2,13,0.659,0.955,0.999,1,1,173
"8284",5,3,6,1,2,13,0.757,0.947,0.999,1,1,173
"8285",4,6,3,2,2,13,0.684,0.966,0.998,1,1,173
"8286",5,4,4,2,2,13,0.76,0.954,0.998,1,1,173
"8287",6,2,5,2,2,13,0.82,0.947,0.996,0.999,1,173
"8288",5,5,2,3,2,13,0.751,0.969,0.996,1,1,173
"8289",6,3,3,3,2,13,0.822,0.968,0.999,1,1,173
"8290",1,6,6,3,2,12,0.257,0.914,0.997,1,1,173
"8291",5,6,0,4,2,13,0.754,0.983,0.993,1,1,173
"8292",6,4,1,4,2,13,0.837,0.973,0.99,1,1,173
"8293",2,5,5,4,2,12,0.435,0.91,0.998,1,1,173
"8294",3,3,6,4,2,12,0.556,0.882,0.996,1,1,173
"8295",2,6,3,5,2,12,0.417,0.941,0.991,1,1,173
"8296",3,4,4,5,2,12,0.555,0.887,0.989,1,1,173
"8297",4,2,5,5,2,12,0.697,0.886,0.993,1,1,173
"8298",5,0,6,5,2,12,0.763,0.812,0.987,1,1,173
"8299",3,5,2,6,2,12,0.544,0.945,0.992,1,1,173
"8300",4,3,3,6,2,12,0.676,0.899,0.979,1,1,173
"8301",5,1,4,6,2,12,0.772,0.868,0.988,1,1,173
"8302",4,6,4,0,3,13,0.672,0.966,1,1,1,173
"8303",5,4,5,0,3,13,0.731,0.953,1,1,1,173
"8304",6,2,6,0,3,13,0.853,0.96,1,1,1,173
"8305",5,5,3,1,3,13,0.736,0.975,0.999,1,1,173
"8306",6,3,4,1,3,13,0.823,0.966,0.998,1,1,173
"8307",5,6,1,2,3,13,0.754,0.981,0.996,0.997,1,173
"8308",6,4,2,2,3,13,0.826,0.98,0.998,0.998,1,173
"8309",2,5,6,2,3,12,0.397,0.912,0.996,1,1,173
"8310",6,5,0,3,3,13,0.835,0.984,0.993,0.998,1,173
"8311",2,6,4,3,3,12,0.41,0.938,0.995,1,1,173
"8312",3,4,5,3,3,12,0.552,0.899,0.996,1,1,173
"8313",4,2,6,3,3,12,0.663,0.848,0.999,1,1,173
"8314",3,5,3,4,3,12,0.554,0.945,0.988,1,1,173
"8315",4,3,4,4,3,12,0.666,0.912,0.991,1,1,173
"8316",5,1,5,4,3,12,0.77,0.878,0.99,0.999,1,173
"8317",3,6,1,5,3,12,0.542,0.961,0.986,1,1,173
"8318",4,4,2,5,3,12,0.661,0.926,0.98,0.999,1,173
"8319",5,2,3,5,3,12,0.771,0.903,0.985,1,1,173
"8320",6,0,4,5,3,12,0.805,0.853,0.985,1,1,173
"8321",0,5,6,5,3,11,0,0.835,0.987,1,1,173
"8322",4,5,0,6,3,12,0.675,0.964,0.973,0.999,1,173
"8323",5,3,1,6,3,12,0.754,0.928,0.972,0.999,1,173
"8324",6,1,2,6,3,12,0.817,0.921,0.974,1,1,173
"8325",0,6,4,6,3,11,0,0.841,0.974,1,1,173
"8326",1,4,5,6,3,11,0.207,0.803,0.987,1,1,173
"8327",2,2,6,6,3,11,0.378,0.709,0.985,0.999,1,173
"8328",5,6,2,0,4,13,0.739,0.971,0.995,1,1,173
"8329",6,4,3,0,4,13,0.828,0.98,0.996,0.998,1,173
"8330",6,5,1,1,4,13,0.839,0.982,0.995,0.998,1,173
"8331",2,6,5,1,4,12,0.419,0.948,1,1,1,173
"8332",3,4,6,1,4,12,0.555,0.905,0.996,1,1,173
"8333",3,5,4,2,4,12,0.517,0.937,0.994,0.998,1,173
"8334",4,3,5,2,4,12,0.692,0.93,0.997,1,1,173
"8335",5,1,6,2,4,12,0.758,0.868,0.993,1,1,173
"8336",3,6,2,3,4,12,0.537,0.956,0.99,0.999,1,173
"8337",4,4,3,3,4,12,0.67,0.941,0.988,1,1,173
"8338",5,2,4,3,4,12,0.75,0.912,0.994,1,1,173
"8339",6,0,5,3,4,12,0.808,0.854,0.992,0.999,1,173
"8340",4,5,1,4,4,12,0.682,0.951,0.979,0.999,1,173
"8341",5,3,2,4,4,12,0.755,0.941,0.981,1,1,173
"8342",6,1,3,4,4,12,0.825,0.913,0.984,1,1,173
"8343",0,6,5,4,4,11,0,0.885,0.995,1,1,173
"8344",1,4,6,4,4,11,0.245,0.805,0.988,1,1,173
"8345",5,4,0,5,4,12,0.767,0.962,0.974,0.999,1,173
"8346",6,2,1,5,4,12,0.823,0.936,0.969,0.999,1,173
"8347",1,5,4,5,4,11,0.239,0.868,0.982,0.999,1,173
"8348",2,3,5,5,4,11,0.425,0.822,0.984,1,1,173
"8349",3,1,6,5,4,11,0.556,0.714,0.981,1,1,173
"8350",1,6,2,6,4,11,0.247,0.899,0.968,1,1,173
"8351",2,4,3,6,4,11,0.406,0.87,0.973,1,1,173
"8352",3,2,4,6,4,11,0.522,0.783,0.972,1,1,173
"8353",4,0,5,6,4,11,0.641,0.696,0.974,1,1,173
"8354",6,6,0,0,5,13,0.802,0.988,0.994,0.996,1,173
"8355",3,5,5,0,5,12,0.556,0.952,0.999,1,1,173
"8356",4,3,6,0,5,12,0.658,0.896,0.999,0.999,1,173
"8357",3,6,3,1,5,12,0.541,0.958,0.996,1,1,173
"8358",4,4,4,1,5,12,0.643,0.937,0.996,1,1,173
"8359",5,2,5,1,5,12,0.758,0.916,0.995,0.998,1,173
"8360",6,0,6,1,5,12,0.838,0.871,0.997,0.999,1,173
"8361",4,5,2,2,5,12,0.672,0.953,0.988,0.998,1,173
"8362",5,3,3,2,5,12,0.749,0.934,0.994,0.998,1,173
"8363",6,1,4,2,5,12,0.817,0.915,0.987,0.997,1,173
"8364",0,6,6,2,5,11,0,0.864,0.998,0.999,1,173
"8365",4,6,0,3,5,12,0.674,0.972,0.984,1,1,173
"8366",5,4,1,3,5,12,0.741,0.955,0.984,0.999,1,173
"8367",6,2,2,3,5,12,0.821,0.942,0.981,0.998,1,173
"8368",1,5,5,3,5,11,0.224,0.855,0.99,1,1,173
"8369",2,3,6,3,5,11,0.412,0.798,0.991,1,1,173
"8370",6,3,0,4,5,12,0.826,0.962,0.981,1,1,173
"8371",1,6,3,4,5,11,0.231,0.908,0.989,1,1,173
"8372",2,4,4,4,5,11,0.405,0.872,0.984,0.999,1,173
"8373",3,2,5,4,5,11,0.53,0.793,0.981,1,1,173
"8374",4,0,6,4,5,11,0.663,0.722,0.987,1,1,173
"8375",2,5,2,5,5,11,0.416,0.907,0.973,0.999,1,173
"8376",3,3,3,5,5,11,0.573,0.869,0.973,1,1,173
"8377",4,1,4,5,5,11,0.685,0.811,0.974,1,1,173
"8378",2,6,0,6,5,11,0.43,0.947,0.969,1,1,173
